オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
オーナー未登録,好巳,〒812-0012 福岡県 福岡市博多区 博多駅中央街7-1,+81 92-483-2778,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9690566,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690566-Reviews-Yoshimi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋 寶珠,〒812-0013 福岡県 福岡市博多区 博多駅東1-10-9,+81 92-471-9141,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9690570,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690570-Reviews-Izakaya_Hoshu-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,新日本料理 海峯魯 博多,〒812-0013 福岡県 福岡市博多区 博多駅東2-10-16 川辺ビル2F,+81 92-433-3355,居酒屋,,,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690572-Reviews-Shin_Nihon_Ryori_Kaiho_Lu_Hakata-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,天天 美野島店,〒812-0017 福岡県 福岡市博多区 美野島2-5-17 1F,+81 50-5786-7844,,,,,https://www.tripadvisor.jp/UpdateListing-d9690575,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690575-Reviews-Ten_Ten_Minoshima-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,夢のつぼみ,〒812-0018 福岡県 福岡市博多区 住吉5-9-21,+81 92-481-7753,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9690578,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690578-Reviews-Yume_No_Tsubomi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋みつわ,〒812-0018 福岡県 福岡市博多区 住吉3-5-8,+81 92-282-6600,,,,,https://www.tripadvisor.jp/UpdateListing-d9690580,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690580-Reviews-Izakaya_Mitsuwa-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋海物 住吉店,〒812-0018 福岡県 福岡市博多区 住吉5-8-3,+81 92-413-0314,,,,,https://www.tripadvisor.jp/UpdateListing-d9690582,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690582-Reviews-Izakaya_Kaibutsu_Sumiyoshi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多サンヒルズホテル 居酒屋 呑多来Izakaya Dontaku,〒812-0046 福岡県 福岡市博多区 吉塚本町13-55 博多サンヒルズホテル 1F,+81 800-100-1176,,,,,https://www.tripadvisor.jp/UpdateListing-d9690597,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690597-Reviews-Hakata_Sunhills_Hotel_Izakaya_Dontaku-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋 一休,〒812-0044 福岡県 福岡市博多区 千代3-45-1,+81 92-641-6484,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9690598,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690598-Reviews-Izakaya_Ikkyu-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋たかはし,〒812-0045 福岡県 福岡市博多区 東公園2-24 2F,+81 92-631-0103,居酒屋,,,,https://www.tripadvisor.jp/UpdateListing-d9690599,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690599-Reviews-Izakaya_Takahashi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
