'オーナー未登録', 'ぢどり屋大和 キャナル店', '〒812-0038 福岡県 福岡市博多区 祇園町8-23 1F', '+81 92-282-3340', '', '', '', '', '', 'https://www.tripadvisor.jp/Restaurant_Review-g14127501-d13455714-Reviews-Jidoriya_Yamato_Canal-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', 'ヒーロー（HERO）', '〒815-0033 福岡県 福岡市 南区大橋1-8-1', '+81 92-511-4241', 'カフェ・喫茶店', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13481182', 'https://www.tripadvisor.jp/Restaurant_Review-g298207-d13481182-Reviews-Hero-Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', 'まいど屋', '〒810-0033 福岡県 福岡市中央区 小笹1-3-4', '+81 92-531-7171', '居酒屋', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13496832', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13496832-Reviews-My_Do_ya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', 'さくら 天神店', '〒810-0041 福岡県 福岡市中央区 大名1-12-56 THE SHOP401', '+81 50-2018-1993', 'バーベキュー', '', '', 'http://sakura-tenjin.com/', '', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13646573-Reviews-Sakura_Tenjin-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', '居酒屋 正六', '〒814-0175 福岡県 福岡市 早良区田村3-33-12', '+81 92-863-6766', '居酒屋', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13790943', 'https://www.tripadvisor.jp/Restaurant_Review-g298207-d13790943-Reviews-Izakaya_Shoroku-Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', '博多 肉道楽', '〒810-0021 福岡県 福岡市中央区 今泉2-1-65', '+81 92-716-4708', '', '', '', '', '', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13790961-Reviews-Hakata_Niku_Doraku-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', '酒場 桐山', '〒810-0005 福岡県 福岡市中央区 清川3-20-31', '+81 92-526-3090', '居酒屋', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13790962', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13790962-Reviews-Sakaba_Kiriyama-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', '春吉のんごのんご', '〒810-0003 福岡県 福岡市中央区 春吉3-12-23', '+81 92-725-1775', '居酒屋', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13790966', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13790966-Reviews-Harukichi_Nongonongo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'オーナー未登録', '焼きもの家', '〒810-0041 福岡県 福岡市中央区 大名2-2-57', '+81 92-731-6040', '居酒屋', '', '', '', 'https://www.tripadvisor.jp/UpdateListing-d13790975', 'https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13790975-Reviews-Yakimonoya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'登録済み', '戦国焼鳥家康 5号店', '〒810-0001 福岡県 福岡市中央区天神 3-5-2', '+81 92-716-0496', '和食（その他）', '', '', 'http://yakitori-ieyasu.co.jp/', 'http://yakitori-ieyasu.co.jp/?page_id=113', 'https://www.tripadvisor.jp/Restaurant_Review-g14135106-d13790982-Reviews-Sengoku_Takitori_Ieyasu_No_5-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html'
'登録済み', 'ニパチ 九大病院前店', '〒812-0054 福岡県 福岡市 東区馬出2-1-10', '+81 92-633-5505', '居酒屋', '', '', '', '', 'https://www.tripadvisor.jp/Restaurant_Review-g298207-d13791003-Reviews-Nipachi_Kyushu_University_Hospital_Mae-Fukuoka_Fukuoka_Prefecture_Kyushu.html'
