オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
登録済み,燻製沖縄料理 かびら亭,〒907-0453 沖縄県 石垣市 川平868-1,+81 980-88-2188,和食,4.5 ,52件の口コミ,,https://1drv.ms/b/s!Aje4LXO7f-3Dxnbpbr-CwJKFS5v8?e=vikbdr,https://www.tripadvisor.jp/Restaurant_Review-g298223-d19254988-Reviews-Kabira_tei-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,ひとし 本店,〒907-0014 沖縄県 石垣市 新栄町15-8,+81 980-83-9610,和食,4.5 ,256件の口コミ,http://www.tabirai.net:443/sightseeing/column/0008513.aspx,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d7317504-Reviews-Hitoshi-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,ひとし 石敢當店,〒907-0022 沖縄県 石垣市 大川197-1,+81 980-88-5807,和食,4.5 ,714件の口コミ,http://www.facebook.com/pages/Hitoshi%20Ishiganto/1660795264152327/,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d2177382-Reviews-Hitoshi_Ishiganto-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,明石食堂,〒907-0332 沖縄県 石垣市 伊原間360,+81 980-89-2447,和食,4.5 ,537件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d1198289-Reviews-Akaishi_Shokudo-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,炭火焼肉 やまもと,〒907-0013 沖縄県 石垣市 浜崎町2-5-18,+81 980-83-5641,和食,4.0 ,479件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d3772765,https://www.tripadvisor.jp/Restaurant_Review-g298223-d3772765-Reviews-Sumibiyakiniku_Yamamoto-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,とうふの比嘉,〒907-0023 沖縄県 石垣市 石垣570,+81 980-82-4806,和食,4.0 ,363件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d3515512-Reviews-Tofuno_Higa-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,来夏世,〒907-0023 沖縄県 石垣市 石垣203,+81 980-82-7646,和食,4.0 ,181件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14210285-d4100806-Reviews-Kunatsuyu-Ishigaki_jima_Ishigaki_Okinawa_Prefecture.html
オーナー未登録,さよこの店,〒907-0004 沖縄県 石垣市 登野城170,+81 980-83-6088,,4.0 ,140件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d6051647,https://www.tripadvisor.jp/Restaurant_Review-g298223-d6051647-Reviews-Sayoko_No_Mise-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,島の食べものや南風,〒907-0022 沖縄県 石垣市 大川219,+81 980-82-6027,和食,4.5 ,139件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d1311499-Reviews-Shimano_Tabemonoya_Baikaji-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,知念商会,〒907-0004 沖縄県 石垣市 登野城1249-18,+81 980-82-9664,和食,4.0 ,125件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d8468137-Reviews-Chinen_Shokai-Ishigaki_Okinawa_Prefecture.html
登録済み,舟蔵の里,〒907-0024 沖縄県 石垣市 新川2468-1,+81 980-82-8108,和食,4.0 ,208件の口コミ,http://www.funakuranosato.com/,http://www.funakuranosato.com/food/index.html,https://www.tripadvisor.jp/Restaurant_Review-g298223-d2190753-Reviews-Funakura_no_Sato-Ishigaki_Okinawa_Prefecture.html
登録済み,燻製沖縄料理 かびら亭,〒907-0453 沖縄県 石垣市 川平868-1,+81 980-88-2188,和食,4.5 ,52件の口コミ,,https://1drv.ms/b/s!Aje4LXO7f-3Dxnbpbr-CwJKFS5v8?e=vikbdr,https://www.tripadvisor.jp/Restaurant_Review-g298223-d19254988-Reviews-Kabira_tei-Ishigaki_Okinawa_Prefecture.html
オーナー未登録,七人本舗,〒907-0012 沖縄県 石垣市 美崎町1 （離島ターミナル内）,+81 980-87-7676,,4.5 ,92件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298223-d4740161-Reviews-Nanapitohonpo-Ishigaki_Okinawa_Prefecture.html
